ticker,longName,logo_url,close_price,total,environmental,social,governance,controversy,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox,beat0,beat1,beat2,beat3
SRE,Sempra,https://logo.clearbit.com/sempra.com,133.38,30.0,15.0,9.0,6.0,3.0,48,6.36,5.3,12.97,25.66,49.71,11.13,8.01,18.95,16.83,45.08,95.3,94.6,95.7,96.5,96.8,99.2,62.8,97.5,75.1,98.9,73.4,0,1,0,1
SHW,The Sherwin-Williams Company,https://logo.clearbit.com/sherwin-williams.com,293.74,29.0,12.0,11.0,6.0,2.0,66,7.61,16.83,26.71,24.72,24.14,34.4,14.41,20.34,12.87,17.98,65.6,65.2,70.8,64.3,64.5,85.7,80.8,79.6,62.5,86.6,96.5,1,1,0,0
SNA,Snap-on Incorporated,https://logo.clearbit.com/snapon.com,213.6,31.0,9.0,14.0,8.0,1.0,31,4.16,7.79,32.5,33.48,22.06,12.04,11.19,24.62,18.64,33.52,50.3,48.4,42.2,50.9,51.6,24.5,37.7,18.9,43.8,44.2,73.4,0,0,1,0
SO,The Southern Company,https://logo.clearbit.com/southerncompany.com,64.14,34.0,16.0,11.0,7.0,2.0,56,1.88,5.66,14.43,19.27,58.78,15.91,8.49,17.97,15.11,42.51,75.9,74.6,87.7,82.0,81.2,98.3,70.0,82.7,64.1,87.3,73.4,0,0,0,1
LUV,Southwest Airlines Co.,https://logo.clearbit.com/southwest.com,49.08,31.0,10.0,15.0,6.0,2.0,70,19.15,11.38,18.34,16.48,34.64,9.56,10.49,24.3,18.77,36.87,59.6,59.6,61.2,59.6,59.8,65.6,62.8,68.7,62.5,67.6,84.9,0,0,1,1
STT,State Street Corporation,https://logo.clearbit.com/statestreet.com,84.82,23.0,2.0,12.0,9.0,2.0,46,8.1,5.44,15.55,13.16,57.75,17.09,7.56,14.11,12.36,48.89,51.3,50.5,21.8,46.1,43.2,0.7,33.3,16.1,42.6,0.8,20.6,0,0,1,1
SYK,Stryker Corporation,https://logo.clearbit.com/stryker.com,273.03,31.0,4.0,15.0,12.0,3.0,11,1.61,4.38,25.28,35.81,32.92,8.36,10.86,24.68,20.49,35.6,15.2,13.5,22.2,20.3,19.1,16.6,13.8,6.7,1.4,3.0,13.6,0,1,0,1
SYY,Sysco Corporation,https://logo.clearbit.com/sysco.com,76.09,12.0,2.0,5.0,5.0,2.0,54,3,4,15,27,52,9,9,24,16,42,69.2,67.2,74.1,71.5,68.6,75.8,64.9,70.3,77.6,67.0,96.3,0,0,1,1
TMUS,"T-Mobile US, Inc.",https://logo.clearbit.com/t-mobile.com,128.0,23.0,3.0,13.0,7.0,3.0,40,2,3,12,24,59,7,6,17,18,52,39.3,42.5,14.4,30.0,27.5,15.1,40.3,9.2,27.5,10.3,73.4,0,1,0,1
TGT,Target Corporation,https://logo.clearbit.com/corporate.target.com,246.67,15.0,2.0,8.0,5.0,3.0,48,8,8,20,24,40,24,14,25,15,22,52.8,53.2,34.0,51.1,49.8,14.4,37.9,25.0,14.6,7.9,26.6,0,1,0,0
TER,"Teradyne, Inc.",https://logo.clearbit.com/teradyne.com,121.35,19.0,7.0,6.0,6.0,0.0,7,1.33,2.06,22.63,22.28,51.73,3.44,4.8,9.91,11.6,70.26,13.4,8.8,8.5,8.7,10.2,10.7,1.5,11.5,3.0,2.7,29.0,0,1,0,1
TSLA,"Tesla, Inc.",https://logo.clearbit.com/tesla.com,759.49,30.0,3.0,17.0,10.0,3.0,44,2.34,1.69,5.59,10.75,79.62,7.16,4.59,10.31,7.98,69.96,39.0,45.4,46.8,42.4,38.2,14.7,18.6,42.9,1.4,2.9,13.0,1,0,0,1
TXN,Texas Instruments Incorporated,https://logo.clearbit.com/ti.com,196.25,20.0,9.0,5.0,6.0,2.0,62,9.41,7.01,17.42,25.99,40.16,10.07,12.61,27.41,16.27,33.63,76.6,76.5,81.8,76.6,77.3,78.7,63.9,91.0,74.8,80.4,94.5,0,1,1,0
TXT,Textron Inc.,https://logo.clearbit.com/textron.com,68.46,36.0,10.0,18.0,8.0,2.0,56,9.99,9.28,29.59,22.22,28.91,19.58,11.22,22.31,17.64,29.25,56.5,56.0,47.1,55.8,55.6,5.6,32.0,27.0,47.4,13.9,10.7,0,1,1,0
HSY,The Hershey Company,https://logo.clearbit.com/thehersheycompany.com,175.07,26.0,11.0,10.0,5.0,3.0,15,1.09,2.95,21.03,24.12,50.83,6.38,6.16,19.8,17.86,49.81,44.7,47.9,41.6,46.5,47.0,12.7,39.2,10.4,40.3,34.8,26.5,0,1,0,1
DIS,The Walt Disney Company,https://logo.clearbit.com/thewaltdisneycompany.com,183.47,15.0,0.0,7.0,8.0,2.0,42,5.22,4.74,16.54,29.83,43.67,11.56,8.91,17.03,15.94,46.56,59.2,59.2,59.4,59.0,59.1,76.5,66.5,63.1,64.5,67.3,94.4,0,0,1,1
TJX,"The TJX Companies, Inc.",https://logo.clearbit.com/tjx.com,70.41,15.0,2.0,7.0,6.0,2.0,27,2.99,3.21,18.87,17.81,57.12,7.13,6.16,15.57,11.94,59.21,28.7,23.5,18.6,22.7,25.1,2.2,5.5,5.2,6.0,9.7,20.0,1,0,0,1
TSCO,Tractor Supply Company,https://logo.clearbit.com/tractorsupply.com,207.16,14.0,3.0,7.0,4.0,2.0,8,.68,.77,7.47,16.73,74.38,3.34,3.24,12.55,10.5,70.37,5.2,6.4,3.7,4.4,4.0,10.9,38.3,29.2,30.3,34.7,73.4,1,0,1,0
TSN,"Tyson Foods, Inc.",https://logo.clearbit.com/tysonfoods.com,75.81,37.0,13.0,13.0,10.0,4.0,43,12,11.76,26.29,24.6,25.32,9.89,11.33,31.95,20.72,26.11,9.8,12.0,9.3,9.0,8.6,24.2,46.4,2.5,40.2,3.7,73.4,0,0,1,1
