ticker,lag0,lag1,lag2,lag3,beat0,beat1,beat2,beat3
CB,1.1351868012536102,0.9578251064005566,1.0994776898880134,0.8392220595350528,1,0,1,1
CHD,,1.0419171274398527,0.9576586357111286,1.0215560752764525,0,0,0,1
CI,,0.9746102289905667,1.191465892253041,0.9867230276667781,0,0,1,1
CINF,,1.088667441615913,1.3396395803049512,0.6873801621585428,0,1,1,0
CTAS,1.1073717512258736,1.0748772159629885,0.9575731669733971,0.8922962338296292,1,1,0,1
CSCO,,1.0965348108466193,1.1000842050731485,0.7693848694809851,0,1,1,0
C,1.0241459636602226,0.9390428217395501,1.2480210467407233,0.8336410282583137,0,0,1,1
CFG,0.9745385605149225,1.0060874062116232,1.2995372047245408,0.7855504368823932,0,0,1,0
CTXS,0.9426506834432952,0.900998311326378,1.0346824365121992,1.1316132446070601,0,0,0,1
CLX,0.9555870225490277,0.9566934763959566,0.913323159361577,1.2014067411345322,0,0,0,1
CME,0.8735971637947526,1.0589031410001493,1.1552671003001846,0.9359275621218364,0,0,1,1
CMS,1.0571771640664676,1.0324998982022755,0.9745782477326085,0.9525394989135908,0,0,0,1
KO,1.0148813953670555,1.0948003211903707,0.9470823720004256,0.9661877950846041,0,1,0,1
CTSH,,0.9084385158091097,0.9517158572248412,1.0599442148561933,0,0,0,1
CL,0.9326946304815285,1.0897084849681398,0.9025905316877267,1.0935145745649428,0,1,0,1
CMCSA,1.000107366486577,1.0342511218052488,1.0896053957938807,0.8899158936410847,0,0,1,1
CMA,1.0628542436681934,1.000870026109586,1.346891166484848,0.6950158021272692,0,0,1,0
CAG,0.9275807455957116,0.9874054338894757,1.0487128566153474,1.0398646677213026,0,0,0,1
COP,1.0114024852295254,1.114072272086119,1.2586507420871937,0.7088206913536893,0,1,1,0
ED,0.9753125243392134,1.0667176077092166,1.0002238645422277,0.9687286705589422,0,0,0,1
STZ,0.9410680245852707,0.9973984049409034,1.0922631896822006,0.97812450063599,0,0,1,1
CPRT,1.1889591283225127,1.1748463885375295,0.8982366643703883,0.8430705327071806,1,1,0,1
GLW,,0.9549923697873028,1.1253057704029772,0.9474571400521558,0,0,1,1
CTVA,0.981630245570872,0.9292067991191841,1.2007896940016698,0.9284862229476049,0,0,1,1
COST,1.2064418190260426,1.1938019891230711,0.8702208560553876,0.8044675432868635,1,1,0,0
CCI,0.9679725886123407,1.1996869264544057,1.072085866935405,0.8061261280509789,0,1,1,0
CSX,0.966114626442846,1.0433366091532212,1.0284665182569535,0.9837161759465273,0,0,0,1
CMI,0.9739387825897035,0.8893326155969126,1.2040979003518928,0.9673380560588429,0,0,1,1
CVS,1.0194335821455884,1.1383282603168536,1.0728030409930456,0.8017521821754114,0,1,1,0
DHI,1.0182413294689527,1.0769892105291685,1.1681704937735238,0.7763071681520178,0,1,1,0
DHR,1.2612940889670126,1.1916009621809436,0.9684381477562318,0.6859162124011409,1,1,0,0
DRI,,0.948140848192261,1.2269481446243287,0.7532137607060685,0,0,1,0
DVA,,1.1320633560447386,0.9715277429876299,0.9246400375801809,0,1,0,1
DE,,0.8653430785513692,1.456172872554006,0.7445939459117906,0,0,1,0
DAL,,0.906262696589158,1.1751493930301422,1.0433806491471473,0,0,1,1
XRAY,0.9571031966163058,1.0343864181088158,1.1737631547632197,0.8743269999888481,0,0,1,1
DVN,1.1178391542864008,1.2483413078878192,1.4335399532697632,0.5086194356194625,1,1,1,0
DXCM,1.370178174704824,1.216128614564916,0.9574828550241399,0.62899098313269,1,1,0,0
FANG,0.926848953683053,1.1617365820907406,1.569680700212306,0.5733986605989804,0,1,1,0
DLR,1.0057541125298168,1.176346592754506,1.0506527730500574,0.8024761471947622,0,1,0,0
DFS,1.0640890226258481,1.230241094884382,1.1260662465091809,0.6819931478608015,0,1,1,0
DISCA,0.9177150598827055,0.3872284533132267,2.644498564208748,1.0684523887661987,0,0,1,1
DISCK,,0.43196004235694946,2.526813891514585,0.9761355295300596,0,0,1,1
DISH,1.0383868279133153,1.0935175482157877,1.0549327092967635,0.8399246866681448,0,1,0,1
DG,,1.1953214873068863,0.86200120921217,0.9301461281003196,0,1,0,1
DLTR,0.8865825253605948,0.9566746075192993,0.9564703664515197,1.2321129092331822,0,0,0,1
D,,1.0533126316385861,0.9826652862401362,0.9928225845715574,0,0,0,1
DPZ,,1.2592786667197897,0.9482604113919283,0.7603661672949192,0,1,0,0
DOV,,1.065934450845408,1.130526065158722,0.7415737737216519,0,0,1,0
DOW,0.9460751790249148,0.9917462874272543,1.208927246299771,0.9078614206025095,0,0,1,1
DTE,1.035285751355199,1.034771910335701,1.0599491850023028,0.9017918904622396,0,0,0,1
DUK,,1.11995930046581,1.012819394331375,0.8975835478805562,0,1,0,1
DRE,1.041700000699082,1.179517067211346,1.0579706607674144,0.7873241075746166,0,1,0,0
DD,0.9118870184719905,0.9960480190310358,1.156968002984501,0.975496591517522,0,0,1,1
DXC,,1.3455255537982722,1.2018779121053385,0.6515573109481178,0,1,1,0
EMN,0.9029779535894336,1.0436338455706464,1.1170946660850039,0.9671459417599427,0,0,1,1
ETN,1.121992845155164,1.046862832529018,1.1815981592043605,0.7285771559275257,1,0,1,0
