ticker,minority_pct,primary_school,high_school,hs_diploma,some_college,bsba,income_l15,income_15_25,income_25_50,income_50_75,income_p75,pm25,ozone,nata_dieselpm,nata_cancerrisk,nata_resphi,traffic_prox,lead_paint,rmp_prox,superfund_prox,hazardwaste_prox,waterdischarge_prox
HAS,39%,"11,233 (12%)","11,643 (12%)","27,411 (29%)","22,189 (23%)","23,343 (24%)","9,124 (16%)","6,647 (12%)","14,699 (26%)","9,808 (17%)","15,961 (28%)",62.7,63.7,66.5,63.2,62.9,69.0,77.7,77.5,71.5,72.7,86.1
HSIC,30%,939 (2.78%),"1,001 (2.96%)","7,059 (20.88%)","7,825 (23.14%)","16,989 (50.25%)",794 (4.85%),887 (5.41%),"1,997 (12.19%)","2,046 (12.49%)","10,662 (65.07%)",19.1,14.5,4.7,15.3,13.9,2.1,35.6,35.1,0.1,0.8,73.4
HES,40%,"45,307 (4.68%)","36,318 (3.75%)","107,612 (11.11%)","115,661 (11.95%)","663,250 (68.51%)","65,166 (10.63%)","40,049 (6.53%)","75,252 (12.27%)","69,457 (11.33%)","363,128 (59.23%)",55.8,56.0,31.9,54.3,52.6,24.4,42.7,53.3,42.4,0.4,2.4
HOLX,25%,"1,011 (4.31%)",708 (3.02%),"5,792 (24.72%)","5,138 (21.93%)","10,783 (46.02%)",576 (4.62%),667 (5.35%),"2,155 (17.28%)","2,144 (17.19%)","6,927 (55.55%)",44.2,39.6,33.7,35.8,40.0,4.6,48.1,3.4,22.3,3.7,16.9
HD,48%,920 (1.48%),"1,336 (2.14%)","7,257 (11.65%)","13,154 (21.11%)","39,634 (63.62%)","2,371 (5.93%)","2,188 (5.47%)","6,909 (17.29%)","7,805 (19.53%)","20,691 (51.77%)",19.1,24.4,5.8,7.9,9.3,3.4,62.8,2.9,46.1,7.4,18.0
HPQ,42%,"1,663 (2.07%)","1,263 (1.57%)","4,356 (5.42%)","8,654 (10.77%)","64,425 (80.16%)","3,316 (7.4%)","2,025 (4.52%)","4,143 (9.24%)","3,892 (8.68%)","31,464 (70.17%)",39.0,45.4,46.8,42.4,38.2,14.7,18.6,42.9,1.4,2.9,13.0
HUM,50%,"3,036 (4.33%)","8,423 (12.01%)","21,650 (30.87%)","21,673 (30.9%)","15,364 (21.91%)","12,241 (27.05%)","7,153 (15.8%)","12,050 (26.62%)","6,112 (13.5%)","7,704 (17.02%)",82.1,82.2,88.6,84.3,84.0,94.4,87.7,96.4,76.4,94.0,92.4
IDXX,10%,349 (2.2%),717 (4.52%),"4,751 (29.97%)","4,639 (29.26%)","5,402 (34.08%)","1,259 (13.47%)",891 (9.54%),"1,970 (21.08%)","1,786 (19.11%)","3,438 (36.79%)",40.8,42.2,34.5,40.1,41.0,32.0,32.9,9.8,23.3,11.9,39.2
ITW,34%,"5,279 (6%)","4,658 (5%)","19,946 (21%)","22,613 (24%)","42,301 (45%)","3,768 (8%)","4,243 (9%)","10,413 (21%)","8,210 (17%)","22,838 (46%)",29.3,29.7,11.0,25.6,26.1,17.0,11.1,4.1,39.5,5.8,3.6
INCY,57%,"2,887 (3.81%)","5,715 (7.55%)","25,243 (33.33%)","16,267 (21.48%)","25,624 (33.83%)","7,238 (16.49%)","4,589 (10.46%)","9,467 (21.57%)","6,936 (15.8%)","15,658 (35.68%)",24.0,26.1,22.3,22.3,27.0,3.1,18.3,28.8,10.7,3.4,6.7
IR,16%,197 (1.17%),502 (2.98%),"2,551 (15.12%)","4,712 (27.94%)","8,906 (52.8%)",621 (6.46%),694 (7.22%),"1,480 (15.39%)","1,549 (16.11%)","5,274 (54.83%)",39.7,40.1,37.0,34.4,30.6,17.0,44.9,38.5,40.6,21.3,73.4
INTC,,"5,812 (4.14%)","6,940 (4.95%)","17,833 (12.71%)","26,534 (18.91%)","83,220 (59.3%)","3,630 (5.09%)","3,068 (4.31%)","8,109 (11.38%)","7,324 (10.28%)","49,121 (68.94%)",86.6,84.4,84.2,85.6,87.7,88.8,81.4,93.2,99.5,98.6,81.9
INTU,52%,"3,501 (5%)","2,369 (3%)","7,271 (10%)","13,331 (17%)","49,841 (65%)","3,024 (7%)","2,656 (6%)","6,102 (14%)","6,086 (14%)","25,868 (59%)",66.1,64.3,64.7,64.8,66.3,74.8,64.6,64.2,98.9,81.1,94.8
ISRG,67%,"7,114 (5%)","6,048 (5%)","19,016 (14%)","31,699 (24%)","67,389 (51%)","4,347 (6%)","4,369 (6%)","10,466 (15%)","10,705 (15%)","41,466 (58%)",60.7,60.3,61.5,60.5,61.0,83.8,62.8,71.1,95.2,82.7,80.4
IPGP,11%,617 (3.45%),"1,187 (6.63%)","6,534 (36.48%)","5,323 (29.72%)","4,250 (23.73%)",947 (9.43%),"1,156 (11.51%)","2,348 (23.38%)","1,892 (18.84%)","3,700 (36.84%)",22.8,15.0,27.1,20.3,24.0,23.1,8.7,21.6,19.9,19.8,23.1
SJM,11%,,,,,,,,,,,23.6,26.1,33.5,32.6,33.8,27.5,9.4,1.8,35.2,5.7,10.9
JPM,39%,"43,580 (4.49%)","36,233 (3.73%)","104,839 (10.79%)","116,304 (11.97%)","670,542 (69.02%)","66,021 (10.72%)","39,822 (6.46%)","75,278 (12.22%)","69,887 (11.34%)","365,127 (59.26%)",57.0,57.1,41.2,56.0,55.2,29.9,41.1,55.3,48.9,0.6,2.7
JNPR,67%,"3,662 (4.64%)","3,723 (4.71%)","9,231 (11.69%)","14,368 (18.19%)","47,994 (60.77%)","1,900 (4.64%)","1,665 (4.06%)","4,192 (10.23%)","4,039 (9.86%)","29,183 (71.21%)",78.2,75.3,72.8,75.3,77.3,83.1,83.9,86.4,98.2,90.4,95.9
KSU,70%,"4,860 (9.6%)","5,757 (11.37%)","13,280 (26.22%)","12,296 (24.28%)","14,457 (28.55%)","8,397 (24.64%)","4,830 (14.17%)","8,622 (25.3%)","5,592 (16.41%)","6,638 (19.48%)",25.1,25.4,4.7,22.8,19.1,1.9,2.2,0.7,9.8,1.2,11.6
KEYS,35%,"3,045 (5.68%)","3,376 (6.29%)","9,553 (17.8%)","18,752 (34.95%)","18,921 (35.26%)","3,074 (10.42%)","1,923 (6.52%)","5,452 (18.47%)","5,097 (17.27%)","13,965 (47.32%)",13.0,22.2,29.2,16.7,13.2,13.1,19.7,34.9,39.1,1.7,73.4
KMI,62%,"9,312 (7.31%)","8,180 (6.42%)","18,018 (14.15%)","24,506 (19.24%)","67,353 (52.88%)","10,146 (13%)","6,321 (8.1%)","12,679 (16.24%)","11,240 (14.4%)","37,681 (48.27%)",29.0,37.5,6.3,24.0,22.4,4.7,4.9,3.1,3.1,3.3,2.4
KLAC,83%,,,,,,,,,,,70.6,69.3,71.1,70.6,72.6,77.7,65.2,89.9,81.7,93.0,83.0
